output,SoloDemand
762.5452215,50
716.1726667,50
696.634499,50
539.376893,50
514.7593854,50
544.5688988,50
616.5027068,50
675.5395805,50
671.086959,50
484.8661792,50
403.0674328,50
434.900583,50
384.4942733,50
311.7065388,50
300.2706442,50
296.9621558,50
214.8731242,50
172.9966538,50
131.159657,50
103.3616335,50
77.23455065,50
47.64787876,50
37.03449836,50
23.59462477,50
23.5555542,50
19.88282379,50
13.38397657,50
22.30662761,50
29.49431873,50
20.8195191,50
28.25506164,50
10.65761097,50
5.562068433,50
2.49,50
2.49,50
2.49,50
22.12704147,50
33.19436468,50
44.15439354,50
83.4233543,50
67.8262768,50
54.3055139,50
44.15439354,50
59.69289316,50
106.1772308,50
133.0634921,50
164.093015,50
174.6018918,50
172.1692538,50
174.2873546,50
213.4563941,50
350.1676648,50
356.8316875,50
357.4438603,50
371.9932482,50
418.7196986,50
396.847843,50
396.1346768,50
395.8237985,50
385.8290543,50
349.1475666,50
300.2073041,50
223.2343168,50
252.7544972,50
218.2702887,50
225.1176769,50
211.4095145,50
182.5385259,50
209.1388682,50
331.0291838,50
332.5917942,50
381.7269996,50
482.2456982,50
581.6925031,50
745.5872464,50
829.178154,50
814.4478312,50
887.991981,50
906.105999,50
913.2936901,50
890.6067144,50
713.6873543,50
696.5890551,50
729.7789143,50
718.6160813,50
612.0407623,50
541.5282697,50
383.6736413,50
266.6491389,50
331.1775217,50
330.1017942,50
361.2630301,50
291.2252198,50
453.1055055,50
810.0369676,50
826.2893112,50
889.3535884,50
889.3535884,50
893.7881059,50
888.3529946,50
891.5970784,50
915.0286501,50
897.9269022,50
